evaluation_scope,detection_family,rule_name,threshold_label,true_positives,false_positives,false_negatives,ground_truth_count,detection_count,precision,recall,false_positive_rate,f1_score,evaluated_at
overall,all,all,z=2.0_iqr=1.5,32,5632,8,40,5664,0.005649717514124294,0.8,0.9943502824858758,0.011220196353436185,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.0_iqr=1.5,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.0_iqr=1.5,7,5626,8,15,5633,0.0012426770814841115,0.4666666666666667,0.9987573229185159,0.002478753541076487,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.0_iqr=1.5,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.0_iqr=1.5,1,2443,0,10,2444,0.0004091653027823241,1.0,0.9995908346972177,0.00081799591002045,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.0_iqr=1.5,0,640,0,5,640,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=2.0_iqr=1.5,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_aum_growth_anomaly,z=2.0_iqr=1.5,1,1958,0,10,1959,0.0005104645227156713,1.0,0.9994895354772844,0.0010204081632653062,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.0_iqr=1.5,5,585,0,5,590,0.00847457627118644,1.0,0.9915254237288136,0.01680672268907563,2026-01-22T00:00:00
overall,all,all,z=2.0_iqr=2.0,32,5190,8,40,5222,0.006127920337035618,0.8,0.9938720796629644,0.012162675788673508,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.0_iqr=2.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.0_iqr=2.0,7,5184,8,15,5191,0.0013484877672895396,0.4666666666666667,0.9986515122327104,0.002689204763734153,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.0_iqr=2.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.0_iqr=2.0,1,2244,0,10,2245,0.00044543429844097997,1.0,0.999554565701559,0.0008904719501335708,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.0_iqr=2.0,0,397,0,5,397,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=2.0_iqr=2.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_aum_growth_anomaly,z=2.0_iqr=2.0,1,1958,0,10,1959,0.0005104645227156713,1.0,0.9994895354772844,0.0010204081632653062,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.0_iqr=2.0,5,585,0,5,590,0.00847457627118644,1.0,0.9915254237288136,0.01680672268907563,2026-01-22T00:00:00
overall,all,all,z=2.0_iqr=3.0,31,4556,9,40,4587,0.006758229779812513,0.775,0.9932417702201874,0.01339961097903609,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.0_iqr=3.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.0_iqr=3.0,6,4550,9,15,4556,0.0013169446883230904,0.4,0.9986830553116769,0.002625246116823452,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.0_iqr=3.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.0_iqr=3.0,0,1800,0,10,1800,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.0_iqr=3.0,0,207,0,5,207,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
